Size,Mean_GFLOPS,Variance
1,0.00887176,2.43658e-05
8,2.36523,0.755907
15,5.68773,3.26106
22,11.7794,2.79852
29,13.5703,19.6042
36,18.6063,9.78302
43,18.0106,15.0637
50,22.1624,5.34538
57,25.7773,9.39056
64,29.4332,4.06989
71,3.65095,2.80931
78,6.78057,0.139363
85,8.67754,0.227901
92,10.372,0.335579
99,12.9675,0.809124
106,15.1452,0.900792
113,18.2653,2.56737
120,20.857,3.80689
127,22.4287,40.8383
134,21.2026,29.2369
141,23.4291,36.8128
148,26.4652,43.3751
155,30.6821,58.72
162,33.7067,66.4914
169,36.7166,78.872
176,40.2011,89.0913
183,44.5649,110.448
190,47.8559,120.574
197,52.4655,142.711
204,55.8928,151.833
211,60.4956,181.482
218,65.7797,199.656
225,41.3257,0.856106
232,43.3378,0.812311
239,46.901,0.695249
246,52.0802,1.48146
253,55.6678,1.17013
260,52.0917,0.243243
267,55.5151,1.61852
274,60.2943,0.531114
281,63.822,1.61284
288,94.6953,221.615
295,99.6508,184.866
302,104.595,195.076
309,107.659,208.765
316,111.986,233.748
323,113.701,210.299
330,121.28,233.635
337,124.847,261.967
344,129.311,271.04
351,132.915,265.287
358,131.295,202.897
365,134.217,257.842
372,152.301,324.13
379,143.614,272.468
386,139.863,201.111
393,146.118,253.838
400,152.93,267.589
407,152.978,279.556
414,161.476,288.708
421,150.634,269.421
428,171.646,306.33
435,174.485,365.238
442,179.673,307.013
449,188.499,464.415
456,197.308,365.49
463,198.824,499.878
470,205.675,471.674
477,207.325,532.987
484,200.041,324.084
491,208.644,436.737
498,229.592,563.075
505,224.959,499.652
512,228.241,466.049
519,216.835,350.366
526,195.592,241.144
533,216.155,340.67
540,212.137,284.54
547,217.123,372.811
554,228.758,333.466
561,229.686,404.259
568,254.273,492.262
575,234.268,766.08
582,234.747,417.672
589,241.446,383.225
596,259.112,462.724
603,251.234,410.707
610,261.299,371.486
617,256.662,1083.3
624,281.357,688.307
631,257.193,667.963
638,277.557,427.78
645,266.608,250.144
652,275.635,597.814
659,265.091,640.196
666,273.141,971.113
673,271.441,620.428
680,287.707,379.726
687,280.487,864.109
694,288.914,329.301
701,284.221,1394.01
708,283.937,1063.31
715,289.871,1165.37
722,300.48,859.175
729,317.734,374.851
736,297.283,1020.11
743,302.55,1370.33
750,314.1,1175.65
757,311.498,1116.96
764,312.785,1721.28
771,302.126,1006.37
778,324.177,587.155
785,306.167,1614.9
792,301.695,1204.57
799,311.147,1869.99
806,311.974,1152.91
813,312.472,1806.19
820,314.896,1381.12
827,316.283,1017.97
834,327.082,671.224
841,325.814,1388.29
848,241.336,118.717
855,320.277,1706.15
862,332.261,1614.97
869,326.977,1568.99
876,258.044,257.181
883,281.99,4678.58
890,341.35,1517.24
897,337.804,962.44
904,350.363,1234.94
911,335.872,1573
918,342.033,1706.9
925,344.545,1087.87
932,352.835,1010.35
939,353.918,1261.88
946,356.357,837.501
953,359.693,999.132
960,362.977,1484.28
967,368.821,1068.55
974,367.566,507.813
981,376.657,946.371
988,367.921,800.545
995,379.587,682.537
