Size,Mean_GFLOPS,Variance
1,0.0738895,0.000826677
2,0.35074,0.0113918
3,0.771923,0.0231677
4,1.2311,0.0492067
5,1.55918,0.026106
6,2.00264,0.0113801
7,2.28843,0.0236162
8,2.4898,0.0258427
9,2.68105,0.0160813
10,2.82113,0.0102715
11,2.82349,0.00269
12,2.89982,0.00487254
13,2.97736,0.00246269
14,2.98639,0.00227865
15,3.13027,0.000681525
16,2.40416,0.000461401
17,2.48815,0.000795255
18,2.56266,0.000616749
19,2.57666,0.00018766
20,2.58762,0.000129272
21,2.60284,0.000266042
22,2.54743,0.000156927
23,2.66726,0.000326365
24,2.7004,0.000141131
25,2.71975,0.000116576
26,2.74654,0.000136674
27,2.73058,4.35346e-05
28,2.75633,7.73794e-05
29,2.66231,0.0514029
30,2.83134,0.000104446
31,2.83939,2.95444e-05
32,2.83249,1.75315e-05
33,2.76801,0.0225775
34,2.85086,1.64005e-05
35,2.86679,0.000165116
36,2.78103,0.0565495
37,2.80587,0.0529584
38,2.91588,1.19304e-05
39,2.93148,5.71367e-05
40,2.97463,3.0725e-06
41,2.75278,0.0752336
42,2.87995,0.0468703
43,2.90232,0.0489344
44,2.90281,0.062472
45,3.03029,1.94772e-06
46,2.9561,0.0218128
47,2.90666,0.0376612
48,3.04858,1.17697e-06
49,2.89314,0.180456
50,2.96857,0.0759916
51,3.06495,0.0108916
52,3.0131,0.033698
53,2.92094,0.0524547
54,2.93515,0.0523975
55,3.06083,0.0247972
56,3.05635,0.031067
57,3.04304,0.0248205
58,3.12752,0.00301768
59,2.81462,0.27311
60,3.12549,0.0179234
61,3.01455,0.0439002
62,3.18775,6.58809e-07
63,3.19562,0.00149151
64,3.08075,0.0234791
65,3.10445,0.0204131
66,3.08466,0.0265457
67,3.17004,0.0044113
68,3.20018,0.00754362
69,3.19536,0.00166519
70,3.1356,0.0198278
71,3.22431,0.000827613
72,3.17115,0.00815008
73,3.17554,0.0100711
74,3.23233,0.00188668
75,3.18958,0.00914136
76,3.2513,0.00189793
77,3.17887,0.0148012
78,3.11614,0.036784
79,3.17182,0.0359799
80,3.22682,0.00607557
81,3.18595,0.00995568
82,3.18146,0.00446414
83,3.13285,0.0355924
84,3.19723,0.0214433
85,3.20586,0.0129594
86,5.31419,0.00186081
87,5.28214,0.00399963
88,5.48496,0.0042969
89,5.52731,0.00172476
90,5.45106,0.0104014
91,5.42596,0.013346
92,5.56346,0.000905705
93,5.53988,0.00161154
94,5.4349,0.00785298
95,5.54966,0.00364372
96,5.53453,0.0032922
97,5.5351,0.00327847
98,5.55845,0.011749
99,5.63301,0.00282315
100,5.62147,0.00692693
101,5.62526,0.00216123
102,5.64833,0.00527834
103,5.64427,0.00478254
104,5.69724,0.00263311
105,5.67885,0.00434799
106,5.64658,0.00181626
107,5.60359,0.00312403
108,5.57286,0.00581407
109,5.76262,0.00388028
110,5.72046,0.000437418
111,5.72056,0.00145948
112,5.73713,0.00401355
113,5.75871,0.00179059
114,5.74954,0.00157725
115,5.71135,0.00125857
116,5.76977,0.000393345
117,5.78871,0.00212331
118,5.77526,0.00241347
119,5.79752,0.00166226
120,5.75814,0.00101116
121,5.74959,0.00232444
122,5.7864,0.00248011
123,5.83436,0.000848323
124,5.81963,0.00207333
125,5.75955,0.00178941
126,5.77061,0.000901342
127,5.85063,0.00276324
128,5.85256,0.00307626
129,5.8753,0.00100338
130,5.79438,0.00146135
131,5.82775,0.00102644
132,5.86131,0.00180602
133,5.87632,0.001696
134,5.86184,0.00159893
135,5.85082,0.00116357
136,5.85788,0.0024151
137,5.89525,0.0012825
138,5.90582,0.00163292
139,5.92339,0.00112183
140,5.86908,0.00121353
141,5.85574,0.000483508
142,5.89812,0.00127007
143,5.90261,9.86598e-05
144,5.93088,0.00105472
145,5.88176,0.001324
146,5.90218,0.000705971
147,6.03754,0.000653188
148,5.95453,0.000864956
149,5.95638,0.000206539
150,5.90056,0.000154204
151,5.90769,0.000428745
152,5.94604,0.000162706
153,5.96905,0.000395429
154,5.96612,0.000856865
155,5.93776,0.000286804
156,5.94701,0.000640242
157,5.96683,0.000545125
158,5.97145,0.000421937
159,5.99156,0.000334316
160,5.95275,0.000901018
161,5.97393,0.000968841
162,5.98921,0.000243328
163,6.01517,0.00106268
164,5.97554,0.000282976
165,5.9699,0.000402734
166,5.97969,0.000334846
167,6.00764,0.000585497
168,6.0228,0.000386831
169,6.01296,0.000335679
170,5.99081,0.000504857
171,5.99983,0.000366992
172,4.94242,1.80842
173,6.08298,0.000222566
174,6.06053,7.28067e-05
175,6.03088,0.000188728
176,6.02884,0.000616608
177,6.06223,0.000288299
178,6.07105,0.000312714
179,6.06821,0.000173584
180,6.05009,0.000142366
181,6.04571,2.42136e-06
182,6.079,0.000179264
183,4.81107,1.0837
184,6.06019,4.3966e-05
185,6.01646,0.000329548
186,6.00426,0.000530604
187,6.01449,0.000415476
188,6.02604,0.00048701
189,6.03987,0.00241364
190,6.01596,0.000420999
191,6.00659,0.000756419
192,6.02002,0.000278871
193,6.02475,0.000349582
194,6.04321,0.000113828
195,6.00099,0.000599284
196,6.01322,0.000141063
197,6.03659,0.000487996
198,6.03721,0.000675657
199,6.05226,0.000137966
200,5.95629,0.0109124
201,6.00678,0.00082431
202,6.01865,0.000421343
203,6.04271,0.000427851
204,6.04585,0.000372976
205,6.04017,0.000170823
206,5.88464,0.00584855
207,6.03276,0.000483582
208,6.04393,6.05587e-05
209,6.07001,0.000400731
210,6.03044,0.000148562
211,5.83698,0.000243654
212,5.99154,0.00211316
213,6.04242,0.000402496
214,6.05444,3.09591e-05
215,5.481,0.388251
216,6.04372,0.000636523
217,6.02038,0.00122955
218,5.86897,0.000508409
219,6.0582,6.91996e-05
220,6.03307,0.000196183
221,6.03583,0.000691231
222,5.88705,0.00415063
223,5.93956,0.00440741
224,6.04324,4.83377e-05
225,6.01314,0.000216233
226,6.03076,9.08501e-05
227,5.94534,0.000179204
228,5.91608,0.000185957
229,6.04968,0.000283628
230,6.05277,0.000102704
231,5.88769,0.000119113
232,6.07058,3.60006e-05
233,5.96297,0.000269777
234,5.76641,0.239675
235,6.04576,0.000167782
236,6.0067,0.000692544
237,5.90317,0.000388262
238,5.87796,0.000110487
239,5.90624,0.000400892
240,6.02694,9.47544e-05
241,5.99104,0.00158565
242,6.06774,0.000554448
243,6.03867,0.000337157
244,6.02072,0.000417207
245,5.9571,0.000172643
246,5.94004,0.0613186
247,6.03954,0.000424479
248,3.01186,0.000229129
249,2.99979,0.000142503
250,2.9751,0.000241754
251,3.00044,0.000216925
252,2.99137,0.000103451
253,2.99306,2.58006e-05
254,2.98651,0.000685406
255,3.00011,1.50111e-05
256,3.01134,0.000201167
257,3.00051,0.000162627
258,2.97948,6.39612e-05
259,2.98137,0.000236492
260,2.99641,0.000378767
261,3.00206,0.000303863
262,2.98315,6.35763e-05
263,2.99267,0.000169457
264,2.99653,0.000705691
265,2.98836,0.000204853
266,2.99307,7.81661e-05
267,2.99149,0.000109713
268,2.98832,9.54852e-05
269,2.99333,1.33399e-05
270,2.98218,0.000186141
271,3.01135,0.00225704
272,3.02795,0.010064
273,3.04621,0.0138868
274,3.06999,0.0307629
275,3.09748,0.0380118
276,3.11506,0.0530508
277,3.13641,0.0795712
278,3.16207,0.118375
279,3.18868,0.141365
280,3.21653,0.216253
281,3.2446,0.258006
282,3.2874,0.380788
283,3.32091,0.404269
284,3.35696,0.493183
285,3.40126,0.684543
286,3.44546,0.839377
287,3.48477,0.935011
288,3.60977,1.78069
289,3.56641,1.28977
290,3.60306,1.48492
291,3.63472,1.5942
292,3.671,1.66839
293,3.69379,1.74167
294,3.7226,1.68449
295,3.73184,1.70916
296,3.73806,1.67915
297,3.72822,1.53279
298,3.78543,1.64122
299,3.79244,1.61135
300,3.83554,1.684
301,3.84026,1.65825
302,3.8358,1.52631
303,3.84435,1.51387
304,3.89705,1.66965
305,3.87455,1.49406
306,3.96598,1.70909
307,3.99491,1.76545
308,4.04581,1.87728
309,3.9898,1.64242
310,4.03221,1.75406
311,4.04564,1.77412
312,4.18743,2.34052
313,4.10582,1.9096
314,4.15536,2.09213
315,4.16806,2.11842
316,4.24352,2.39825
317,4.25796,2.42515
318,4.28194,2.39972
319,4.28634,2.41375
320,4.299,2.42422
321,4.29039,2.31045
322,4.3955,2.58627
323,4.38941,2.54126
324,4.43004,2.61544
325,4.40739,2.48712
326,4.43407,2.46274
327,4.44832,2.51353
328,4.46508,2.51177
329,4.43482,2.33017
330,4.48731,2.40802
331,4.49511,2.41003
332,4.52184,2.40968
333,4.52404,2.39204
334,4.53986,2.32599
335,4.54988,2.34469
336,4.57691,2.35575
337,4.57669,2.31386
338,4.58317,2.2277
339,4.61573,2.32902
340,4.65107,2.33952
341,4.63895,2.27066
342,4.65102,2.20066
343,4.67228,2.26013
344,4.72957,2.38005
345,4.68839,2.22857
346,4.7304,2.26454
347,4.75949,2.33143
348,4.795,2.36697
349,4.82707,2.35278
350,4.82936,2.38451
351,4.81325,2.32132
352,4.88558,2.55793
353,4.88204,2.45048
354,4.95778,2.62745
355,4.92806,2.53143
356,4.98636,2.7073
357,4.96853,2.64478
358,5.0142,2.7238
359,5.01939,2.743
360,5.04252,2.77598
361,5.03262,2.70352
362,5.05228,2.66085
363,5.05206,2.67083
364,5.03993,2.54487
365,5.06691,2.63051
366,5.07071,2.54768
367,5.07915,2.58485
368,5.08819,2.56958
369,5.10153,2.55217
370,5.1013,2.46875
371,5.10883,2.51075
372,5.11535,2.43654
373,5.12741,2.45866
374,5.14188,2.40726
375,5.11941,2.36646
376,5.14309,2.37766
377,5.1595,2.37856
378,5.15395,2.28978
379,5.17179,2.34122
380,5.17465,2.27362
381,5.18178,2.28885
382,5.18612,2.20148
383,5.17424,2.19265
384,5.20909,2.21661
385,5.21791,2.21306
386,5.22786,2.14659
387,5.23496,2.17415
388,5.26034,2.15043
389,5.23244,2.09952
390,5.25268,2.05463
391,5.25215,2.06751
392,5.27857,2.07848
393,5.28452,2.07335
394,5.27629,1.96739
395,5.31075,2.05208
396,5.33005,2.01386
397,5.32191,2.00664
398,5.34921,1.97582
399,5.3245,1.94915
400,5.35904,1.98441
401,5.34366,1.93356
402,5.36921,1.91426
403,5.36233,1.89487
404,5.38939,1.88453
405,5.39081,1.88648
406,5.42632,1.88991
407,5.40272,1.85305
408,5.4259,1.8718
409,5.43757,1.85643
410,5.45451,1.82843
411,5.46476,1.85256
412,5.49123,1.8404
413,5.46672,1.81509
414,5.48538,1.7807
415,5.49832,1.81747
416,5.53689,1.84881
417,5.48987,1.76153
418,5.55847,1.812
419,5.52578,1.77297
420,5.56196,1.79204
421,5.53209,1.76969
422,5.59834,1.80215
423,5.5662,1.75522
424,5.58162,1.78129
425,5.61538,1.80474
426,5.65434,1.82421
427,5.6284,1.79348
428,5.66755,1.83698
429,5.67345,1.83698
430,5.69616,1.84851
431,5.69553,1.84142
432,5.71032,1.89099
433,5.70884,1.84112
434,5.74637,1.8811
435,5.74287,1.88021
436,5.78377,1.95427
437,5.76173,1.89352
438,5.78959,1.93044
439,5.75202,1.87755
440,5.76147,1.91159
441,5.79316,1.93656
442,5.80351,1.90044
443,5.76945,1.86201
444,5.79583,1.86492
445,5.77713,1.84382
446,5.80057,1.82835
447,5.78608,1.82134
448,5.81761,1.83721
449,5.81794,1.83311
450,5.80701,1.76599
451,5.82817,1.81417
452,5.83751,1.78411
453,5.83799,1.78623
454,5.81333,1.70407
455,5.84835,1.7756
456,5.8454,1.74278
457,5.84612,1.73738
458,5.42825,1.84136
459,5.83746,1.68826
460,5.86258,1.67433
461,5.82996,1.6448
462,5.86144,1.63585
463,5.8722,1.66375
464,5.87573,1.63302
465,5.86625,1.62254
466,5.86978,1.57542
467,5.85807,1.58072
468,5.88122,1.57119
469,5.8567,1.54963
470,5.86609,1.51657
471,5.8621,1.5274
472,5.87798,1.52075
473,5.87849,1.51102
474,5.89706,1.48304
475,5.89292,1.49787
476,5.91432,1.48071
